location,size,total_sqft,bath,price,bhk,price_per_sqft
Mahadevpura,2 BHK,1236,2,58,2,4692.56
Mahadevpura,2 BHK,1120,2,53,2,4732.14
Mahalakshmi Layout,4 Bedroom,1575,5,158,4,10031.75
Mahalakshmi Layout,2 BHK,1105,2,80,2,7239.82
Mahalakshmi Layout,4 Bedroom,1200,3,160,4,13333.33
Mahalakshmi Layout,3 BHK,1200,2,110,3,9166.67
Mahalakshmi Layout,3 BHK,1876,3,150,3,7995.74
Mallasandra,3 BHK,1665,3,95,3,5705.71
Mallasandra,3 BHK,1665,3,86.58,3,5200
Mallasandra,2 BHK,1340,2,61,2,4552.24
Mallasandra,2 BHK,1325,2,70,2,5283.02
Mallasandra,3 BHK,1665,3,86.91,3,5219.82
Mallasandra,2 BHK,1325,2,70,2,5283.02
Mallasandra,2 BHK,905,2,40,2,4419.89
Mallasandra,2 BHK,1325,2,65,2,4905.66
Mallasandra,2 BHK,1325,2,73,2,5509.43
Mallasandra,2 BHK,1565,2,69,2,4408.95
Mallasandra,2 BHK,905,2,35,2,3867.4
Mallasandra,3 BHK,1100,2,76.3,3,6936.36
Malleshpalya,2 BHK,1140,2,46.5,2,4078.95
Malleshpalya,2 BHK,1225,2,46.86,2,3825.31
Malleshpalya,2 BHK,1052,2,50,2,4752.85
Malleshpalya,3 BHK,1405,2,77,3,5480.43
Malleshpalya,2 BHK,1065,2,50,2,4694.84
Malleshpalya,2 BHK,1210,2,55,2,4545.45
Malleshpalya,2 BHK,1060,2,40,2,3773.58
Malleshpalya,3 BHK,1430,2,69.5,3,4860.14
Malleshpalya,2 BHK,1421,2,90,2,6333.57
Malleshpalya,2 BHK,1245,2,55,2,4417.67
Malleshpalya,2 BHK,1200,2,46,2,3833.33
Malleshpalya,2 BHK,1225,2,52,2,4244.9
Malleshwaram,1 BHK,705,1,67,1,9503.55
Malleshwaram,7 BHK,12000,7,2200,7,18333.33
Malleshwaram,4 BHK,2500,5,325,4,13000
Malleshwaram,3 BHK,2006,3,297,3,14805.58
Malleshwaram,1 BHK,686,1,62.5,1,9110.79
Malleshwaram,3 BHK,2475,4,332,3,13414.14
Malleshwaram,3 BHK,2610,3,399,3,15287.36
Malleshwaram,3 BHK,2475,4,320,3,12929.29
Malleshwaram,2 BHK,900,2,95,2,10555.56
Malleshwaram,2 BHK,1420,2,158,2,11126.76
Malleshwaram,3 BHK,2000,3,250,3,12500
Malleshwaram,3 BHK,2215,3,275,3,12415.35
Malleshwaram,3 BHK,2475,4,300,3,12121.21
Malleshwaram,3 BHK,2345,2.69,293,3,12494.67
Malleshwaram,3 BHK,2215,4,310,3,13995.49
Malleshwaram,1 BHK,480,1,60,1,12500
Malleshwaram,2 BHK,1290,2,120,2,9302.33
Malleshwaram,3 BHK,2475,4,326,3,13171.72
Malleshwaram,3 BHK,2476,3,337,3,13610.66
Malleshwaram,2 BHK,900,2,90,2,10000
Malleshwaram,3 BHK,2050,4,270,3,13170.73
Malleshwaram,2 BHK,900,2,72,2,8000
Malleshwaram,1 BHK,620,1,86.8,1,14000
Malleshwaram,2 Bedroom,600,1,68,2,11333.33
Malleshwaram,3 BHK,2475,4,337,3,13616.16
Malleshwaram,3 BHK,2215,3,275,3,12415.35
Malleshwaram,3 BHK,2215,3,330,3,14898.42
Malleshwaram,2 BHK,1020,2,80,2,7843.14
Malleshwaram,2 Bedroom,600,1,90,2,15000
Malleshwaram,3 BHK,2200,3,275,3,12500
Malleshwaram,3 BHK,2475,4,326,3,13171.72
Malleshwaram,2 BHK,1500,2,140,2,9333.33
Malleshwaram,3 BHK,2475,4,340,3,13737.37
Malleshwaram,2 BHK,1400,2,190,2,13571.43
Malleshwaram,3 BHK,2475,4,300,3,12121.21
Malleshwaram,3 BHK,2400,3,380,3,15833.33
Malleshwaram,1 BHK,580,1,45,1,7758.62
Malleshwaram,2 BHK,1410,2,125,2,8865.25
Marathahalli,2 BHK,1220,2,57,2,4672.13
Marathahalli,2 BHK,1200,2,52,2,4333.33
Marathahalli,2 BHK,1200,2,60,2,5000
Marathahalli,3 BHK,1933,3,140,3,7242.63
Marathahalli,2 BHK,950,2,46.96,2,4943.16
Marathahalli,2 BHK,1230,2,80,2,6504.07
Marathahalli,4 BHK,3800,4,250,4,6578.95
Marathahalli,2 BHK,1019,2,49.85,2,4892.05
Marathahalli,2 BHK,1215,2,67,2,5514.4
Marathahalli,4 BHK,2181,3,152,4,6969.28
Marathahalli,2 BHK,1170,2,53,2,4529.91
Marathahalli,2 BHK,1019,2,49.86,2,4893.03
Marathahalli,2 BHK,1325,2,71.55,2,5400
Marathahalli,2 BHK,1220,2,56.5,2,4631.15
Marathahalli,2 BHK,1152,2,56,2,4861.11
Marathahalli,3 BHK,1610,3,90,3,5590.06
Marathahalli,2 BHK,1146,2,70,2,6108.2
Marathahalli,3 BHK,1469,3,89,3,6058.54
Marathahalli,4 BHK,2519,5,185,4,7344.18
Marathahalli,2 BHK,957,2,46.9,2,4900.73
Marathahalli,3 BHK,1583,3,105,3,6632.98
Marathahalli,4 BHK,2524,5,190,4,7527.73
Marathahalli,2 BHK,1071,2,52.25,2,4878.62
Marathahalli,2 BHK,1215,2,58.86,2,4844.44
Marathahalli,2 BHK,1102,2,53.67,2,4870.24
Marathahalli,3 BHK,1900,3,123,3,6473.68
Marathahalli,2 BHK,1045,2,60,2,5741.63
Marathahalli,2 BHK,1215,2,58.86,2,4844.44
Marathahalli,2 BHK,1365,2,73,2,5347.99
Marathahalli,2 BHK,1208,2,70,2,5794.7
Marathahalli,2 BHK,1325,1,92,2,6943.4
Marathahalli,3 BHK,1525,3,90,3,5901.64
Marathahalli,3 BHK,1937,3,140,3,7227.67
Marathahalli,3 BHK,1550,3,83,3,5354.84
Marathahalli,2 BHK,1350,2,86,2,6370.37
Marathahalli,2 BHK,957,2,47,2,4911.18
Marathahalli,2 BHK,1230,2,57,2,4634.15
Marathahalli,2 BHK,1200,2,58,2,4833.33
Marathahalli,1 BHK,607,1,35,1,5766.06
Marathahalli,3 BHK,1583,3,109,3,6885.66
Marathahalli,2 BHK,1075,2,52.43,2,4877.21
Marathahalli,2 BHK,1360,2,103,2,7573.53
Marathahalli,2 BHK,1220,2,58.5,2,4795.08
Marathahalli,2 BHK,950,2,45.68,2,4808.42
Marathahalli,1 BHK,615,1,44,1,7154.47
Marathahalli,3 BHK,1595,3,90,3,5642.63
Marathahalli,2 BHK,1350,2,89,2,6592.59
Marathahalli,2 BHK,1020,2,57,2,5588.24
Marathahalli,2 BHK,1600,3,88,2,5500
Marathahalli,1 BHK,780,1,55,1,7051.28
Marathahalli,3 BHK,1710,3,100,3,5847.95
Marathahalli,2 BHK,1358,2,81,2,5964.65
Marathahalli,2 BHK,1205,2,75,2,6224.07
Marathahalli,3 BHK,1730,3,110,3,6358.38
Marathahalli,3 BHK,1583,3,115,3,7264.69
Marathahalli,2 BHK,1200,2,67,2,5583.33
Marathahalli,2 BHK,1095,2,60,2,5479.45
Marathahalli,2 BHK,1060,2,48,2,4528.3
Marathahalli,2 BHK,1050,2,65,2,6190.48
Marathahalli,2 BHK,1102,2,53.67,2,4870.24
Marathahalli,2 BHK,1026,2,49.95,2,4868.42
Marathahalli,2 BHK,1220,2,59,2,4836.07
Marathahalli,2 BHK,881,2,48.06,2,5455.16
Marathahalli,3 BHK,1710,3,100,3,5847.95
Marathahalli,3 BHK,1680,3,105,3,6250
Marathahalli,3 BHK,1910,3,119,3,6230.37
Marathahalli,2 BHK,1602,2,104,2,6491.89
Marathahalli,1 BHK,700,1,38,1,5428.57
Marathahalli,3 BHK,1469,3,89,3,6058.54
Marathahalli,3 BHK,1690,3,116,3,6863.91
Marathahalli,2 BHK,1065,2,55,2,5164.32
Marathahalli,3 BHK,1693,3,125,3,7383.34
Marathahalli,3 BHK,1693,3,125,3,7383.34
Marathahalli,2 BHK,1196,2,57.9,2,4841.14
Marathahalli,3 BHK,1595,3,88,3,5517.24
Marathahalli,3 BHK,2122,3,125,3,5890.67
Marathahalli,3 BHK,1730,3,115,3,6647.4
Marathahalli,2 BHK,1125,2,55,2,4888.89
Marathahalli,3 BHK,1950,3,115,3,5897.44
Marathahalli,2 BHK,1250,2,68,2,5440
Marathahalli,2 BHK,1125,2,56.8,2,5048.89
Marathahalli,2 BHK,1350,2,90,2,6666.67
Marathahalli,2 BHK,1200,2,53,2,4416.67
Marathahalli,4 BHK,2500,5,175,4,7000
Marathahalli,2 BHK,957,2,47,2,4911.18
Marathahalli,2 BHK,1350,2,60,2,4444.44
Marathahalli,4 BHK,3400,4,235,4,6911.76
Marathahalli,2 BHK,1350,2,99,2,7333.33
Marathahalli,2 BHK,1285,2,55,2,4280.16
Marathahalli,4 BHK,2500,5,181,4,7240
Marathahalli,4 BHK,3800,4,235,4,6184.21
Marathahalli,4 BHK,3951,4,230,4,5821.31
Marathahalli,2 BHK,1125,2,54.8,2,4871.11
Marathahalli,3 BHK,1700,3,126,3,7411.76
Marathahalli,2 BHK,1270,2,73,2,5748.03
Marathahalli,2 BHK,950,2,46.7,2,4915.79
Marathahalli,3 BHK,1550,3,85,3,5483.87
Marathahalli,2 BHK,1019,2,49.86,2,4893.03
Marathahalli,2 BHK,1144,2,65,2,5681.82
Marathahalli,2 BHK,1240,2,55,2,4435.48
Marathahalli,1 BHK,1100,2,75,1,6818.18
Marathahalli,2 BHK,1156,2,52,2,4498.27
Marathahalli,4 BHK,2524,5,180,4,7131.54
Marathahalli,2 BHK,1135,2,60,2,5286.34
Marathahalli,3 BHK,1839,3,130,3,7069.06
Marathahalli,2 BHK,1170,2,85,2,7264.96
Marathahalli,2 BHK,1102,2,53.67,2,4870.24
Marathahalli,3 BHK,1108,2,60,3,5415.16
Marathahalli,3 BHK,1449,3,110,3,7591.44
Marathahalli,2 BHK,1360,2,101,2,7426.47
Marathahalli,2 BHK,1026,2,50.18,2,4890.84
Marathahalli,2 BHK,1270,2,80,2,6299.21
Marathahalli,2 BHK,1100,2,50,2,4545.45
Marathahalli,2 BHK,1196,2,57.95,2,4845.32
Marathahalli,3 BHK,1485,2,90,3,6060.61
Marathahalli,2 BHK,1146,2,69,2,6020.94
Margondanahalli,2 Bedroom,1090,2,58,2,5321.1
Margondanahalli,2 Bedroom,1200,2,58.5,2,4875
Margondanahalli,2 Bedroom,1200,2,67,2,5583.33
Margondanahalli,2 Bedroom,1000,2,57,2,5700
Margondanahalli,2 Bedroom,600,2,35,2,5833.33
Margondanahalli,2 Bedroom,1200,2,69,2,5750
Margondanahalli,2 Bedroom,900,2,49,2,5444.44
Margondanahalli,2 Bedroom,1140,2,60,2,5263.16
Margondanahalli,2 Bedroom,1100,2,55,2,5000
Margondanahalli,2 Bedroom,1152,1,66,2,5729.17
Margondanahalli,2 Bedroom,1200,2,65,2,5416.67
Margondanahalli,2 Bedroom,1050,2,58,2,5523.81
Margondanahalli,2 Bedroom,1160,2,65,2,5603.45
Margondanahalli,2 BHK,1334,2,67.76,2,5079.46
Marsur,4 Bedroom,1800,4,145,4,8055.56
Marsur,3 Bedroom,1200,3,90,3,7500
Marsur,3 Bedroom,1200,3,120,3,10000
Mico Layout,9 BHK,5000,9,210,9,4200
Mico Layout,3 BHK,1550,2,65,3,4193.55
Mico Layout,2 BHK,1125,2,40,2,3555.56
Mico Layout,2 BHK,1190,2,39.25,2,3298.32
Mico Layout,1 BHK,800,1,29.5,1,3687.5
Mico Layout,3 BHK,1250,2,44,3,3520
Mico Layout,2 BHK,1171,2,39,2,3330.49
Mico Layout,2 BHK,1200,2,53.5,2,4458.33
Mico Layout,3 BHK,1670,3,59,3,3532.93
Mico Layout,2 BHK,1140,2,43,2,3771.93
Munnekollal,2 BHK,1170,2,52,2,4444.44
Munnekollal,2 BHK,1102,2,53.67,2,4870.24
Munnekollal,3 BHK,1390,3,68,3,4892.09
Munnekollal,2 BHK,1200,2,49.5,2,4125
Munnekollal,2 BHK,950,2,46.5,2,4894.74
Munnekollal,3 BHK,1560,3,75,3,4807.69
Munnekollal,3 BHK,1750,3,86.5,3,4942.86
Munnekollal,3 BHK,1385,2,66.5,3,4801.44
Munnekollal,2 BHK,1080,2,45,2,4166.67
Munnekollal,2 BHK,1170,2,59,2,5042.74
Munnekollal,3 BHK,1200,2,57.9,3,4825
Munnekollal,2 BHK,1030,2,50.36,2,4889.32
Murugeshpalya,2 BHK,1296,2,81,2,6250
Murugeshpalya,3 BHK,1550,3,74,3,4774.19
Murugeshpalya,3 BHK,1845,3,91,3,4932.25
Murugeshpalya,2 BHK,1185,2,85,2,7173
Murugeshpalya,2 BHK,1225,2,48,2,3918.37
Murugeshpalya,3 BHK,1930,3,75,3,3886.01
Murugeshpalya,3 BHK,1600,2,65,3,4062.5
Murugeshpalya,3 BHK,1344,2,56,3,4166.67
Murugeshpalya,3 BHK,1500,2,70,3,4666.67
Murugeshpalya,3 BHK,1855,3,96,3,5175.2
Murugeshpalya,2 BHK,1175,2,75,2,6382.98
Mysore Road,2 BHK,1175,2,73.5,2,6255.32
Mysore Road,3 BHK,1710,4,91.31,3,5339.77
Mysore Road,2 BHK,1020,2,48.95,2,4799.02
Mysore Road,2 BHK,1175,2,73.5,2,6255.32
Mysore Road,2 BHK,1070,2,45,2,4205.61
Mysore Road,2 BHK,1239,2,53,2,4277.64
Mysore Road,2 BHK,1060,2,62,2,5849.06
Mysore Road,2 BHK,980,2,45.47,2,4639.8
Mysore Road,2 BHK,883,2,40,2,4530.01
Mysore Road,3 BHK,1525,3,96,3,6295.08
Mysore Road,2 BHK,1200,2,65,2,5416.67
Mysore Road,2 BHK,883,2,40.95,2,4637.6
Mysore Road,2 BHK,1070,2,49.65,2,4640.19
Mysore Road,2 BHK,883,2,50,2,5662.51
Mysore Road,2 BHK,1155,2,51,2,4415.58
Mysore Road,2 BHK,1003,2,43,2,4287.14
Mysore Road,2 BHK,1237,2,73,2,5901.37
Mysore Road,2 BHK,883,2,45,2,5096.26
Mysore Road,2 BHK,1170,2,65,2,5555.56
Mysore Road,2 BHK,1029.5,2,50.855,2,4939.78
Mysore Road,2 BHK,940,2,43.61,2,4639.36
Mysore Road,2 BHK,1020,2,48.95,2,4799.02
Mysore Road,3 BHK,1568,2,100,3,6377.55
Mysore Road,3 BHK,1560,2.69,83.3,3,5339.74
Mysore Road,2 BHK,1175,2,70.5,2,6000
Mysore Road,3 BHK,1080,2,60,3,5555.56
Mysore Road,2 BHK,883,2,37,2,4190.26
NGR Layout,2 BHK,1020,2,45.9,2,4500
NGR Layout,2 BHK,1105,2,49.73,2,4500.45
NGR Layout,2 BHK,1022,2,45.9,2,4491.19
NGR Layout,2 BHK,1020,2,45,2,4411.76
NGR Layout,2 BHK,1019,2,45.9,2,4504.42
NGR Layout,2 BHK,1020,2,46,2,4509.8
NGR Layout,2 BHK,1021,2,46,2,4505.39
NGR Layout,2 BHK,1021,2,45.9,2,4495.59
NRI Layout,3 BHK,1565,2,75,3,4792.33
NRI Layout,5 BHK,2500,5,130,5,5200
NRI Layout,2 BHK,1125,2,45.56,2,4049.78
NRI Layout,4 Bedroom,2150,4,115,4,5348.84
NRI Layout,2 Bedroom,1250,2,75,2,6000
NRI Layout,3 BHK,1789,3,75,3,4192.29
NRI Layout,3 BHK,1731,3,64.11,3,3703.64
NRI Layout,2 Bedroom,2400,2,125,2,5208.33
Nagarbhavi,3 Bedroom,1350,3,150,3,11111.11
Nagarbhavi,2 Bedroom,1200,2,150,2,12500
Nagarbhavi,3 Bedroom,2400,3,160,3,6666.67
Nagarbhavi,1 BHK,884,2,36,1,4072.4
Nagarbhavi,2 BHK,1055,2,55,2,5213.27
Nagarbhavi,2 BHK,1223,2,60,2,4905.97
Nagarbhavi,2 BHK,956,2,49,2,5125.52
Nagarbhavi,2 Bedroom,1200,2,150,2,12500
Nagarbhavi,2 BHK,1145,2,40,2,3493.45
Nagarbhavi,1 BHK,300,1,20,1,6666.67
Nagarbhavi,4 Bedroom,1250,3,175,4,14000
Nagarbhavi,1 BHK,710,2,40,1,5633.8
Nagarbhavi,2 BHK,1212,2,50,2,4125.41
Nagarbhavi,2 BHK,1020,2,55,2,5392.16
Nagarbhavi,2 BHK,1120,2,53,2,4732.14
Nagarbhavi,2 BHK,1146,2,50,2,4363
Nagarbhavi,2 BHK,1190,2,63,2,5294.12
Nagarbhavi,2 BHK,1050,2,80,2,7619.05
Nagarbhavi,5 Bedroom,2500,3,180,5,7200
Nagarbhavi,2 Bedroom,1250,3,170,2,13600
Nagarbhavi,3 BHK,1400,2,135,3,9642.86
Nagarbhavi,2 BHK,1100,2,46.2,2,4200
Nagarbhavi,2 BHK,1080,2,49,2,4537.04
Nagarbhavi,4 Bedroom,1800,3,180,4,10000
Nagarbhavi,2 BHK,1225,2,58,2,4734.69
Nagasandra,2 BHK,980,2,48,2,4897.96
Nagasandra,4 BHK,2400,4,145,4,6041.67
Nagasandra,3 BHK,1650,3,95,3,5757.58
Nagasandra,2 Bedroom,1500,2,91,2,6066.67
Nagavara,1 Bedroom,400,1,14,1,3500
Nagavara,4 BHK,2172.65,3,120,4,5523.21
Nagavara,3 BHK,2319,3,180,3,7761.97
Nagavara,3 BHK,2430,4,180,3,7407.41
Nagavara,2 BHK,936,2,40.2,2,4294.87
Nagavara,2 BHK,1125,2,44.5,2,3955.56
Nagavara,2 BHK,1315,2,70,2,5323.19
Nagavara,2 BHK,1077,2,50,2,4642.53
Nagavara,4 BHK,2496,4,125,4,5008.01
Nagavara,2 BHK,1110,2,44.95,2,4049.55
Nagavara,2 BHK,1247,2,58.56,2,4696.07
Nagavarapalya,2 BHK,1392,2,99,2,7112.07
Nagavarapalya,1 BHK,705,1,52.5,1,7446.81
Nagavarapalya,3 BHK,1300,3,80,3,6153.85
Nagavarapalya,1 BHK,705,1,57,1,8085.11
Nagavarapalya,1 BHK,705,1,55,1,7801.42
Nagavarapalya,1 BHK,705,1,57,1,8085.11
Nagavarapalya,2 BHK,1335,2,110,2,8239.7
Nagavarapalya,2 BHK,1260,2,85.5,2,6785.71
Narayanapura,2 BHK,1308,2,89.04,2,6807.34
Narayanapura,3 BHK,1566,3,83.3,3,5319.28
Narayanapura,3 BHK,1485,3,85,3,5723.91
Narayanapura,2 BHK,1302,2,69.1,2,5307.22
Narayanapura,2 BHK,1308,2,89.04,2,6807.34
Narayanapura,3 BHK,2357,3,135,3,5727.62
Narayanapura,3 BHK,2357,3,135,3,5727.62
Narayanapura,2 BHK,1469,2,99.14,2,6748.81
Neeladri Nagar,2 BHK,1053,2,45,2,4273.5
Neeladri Nagar,2 BHK,1363,2,68,2,4988.99
Neeladri Nagar,3 BHK,2556,3,133,3,5203.44
Neeladri Nagar,1 BHK,674,1,21,1,3115.73
Neeladri Nagar,1 BHK,527,1,26,1,4933.59
Neeladri Nagar,3 BHK,1167,2,38,3,3256.21
Neeladri Nagar,2 BHK,1060,2,35,2,3301.89
Neeladri Nagar,1 BHK,640,1,20.5,1,3203.12
Neeladri Nagar,10 BHK,4000,12,160,10,4000
Neeladri Nagar,2 BHK,1105,2,30,2,2714.93
Neeladri Nagar,2 BHK,1100,2,30,2,2727.27
Neeladri Nagar,3 BHK,2111,3,103,3,4879.2
Nehru Nagar,3 BHK,1775,3,110,3,6197.18
Nehru Nagar,4 BHK,2363,5,120,4,5078.29
Nehru Nagar,4 BHK,2342,3,115,4,4910.33
Nehru Nagar,2 BHK,967,2,41.1,2,4250.26
Nehru Nagar,3 BHK,1374,3,72,3,5240.17
Nehru Nagar,3 BHK,1674,3,90,3,5376.34
Nehru Nagar,3 BHK,1269,2,63,3,4964.54
Nehru Nagar,2 BHK,1100,2,50,2,4545.45
Nehru Nagar,3 BHK,1674,3,81,3,4838.71
OMBR Layout,3 BHK,2420,3,185,3,7644.63
OMBR Layout,2 BHK,1078,2,65,2,6029.68
OMBR Layout,2 BHK,1101,2,65.5,2,5949.14
OMBR Layout,2 BHK,1041,2,65.5,2,6292.03
OMBR Layout,2 BHK,1300,2,80,2,6153.85
OMBR Layout,2 BHK,1085,2,64,2,5898.62
OMBR Layout,3 BHK,1855,3,145,3,7816.71
OMBR Layout,2 BHK,1050,2,48,2,4571.43
OMBR Layout,2 BHK,1165,2,88.5,2,7596.57
OMBR Layout,2 BHK,1101,2,66,2,5994.55
OMBR Layout,4 BHK,3400,4,275,4,8088.24
Old Airport Road,4 BHK,2732,4,204,4,7467.06
Old Airport Road,4 BHK,3356,4,251,4,7479.14
Old Airport Road,2 BHK,1206,2,75,2,6218.91
Old Airport Road,4 BHK,2774,4,207,4,7462.15
Old Airport Road,4 BHK,2690,4,191,4,7100.37
Old Airport Road,4 BHK,2690,4,199,4,7397.77
Old Airport Road,2 BHK,1655,2,97.65,2,5900.3
Old Airport Road,2 BHK,1075,2,60,2,5581.4
Old Airport Road,3 BHK,1858,2,167,3,8988.16
Old Airport Road,2 BHK,1150,2,90,2,7826.09
Old Airport Road,4 BHK,2690,4,191,4,7100.37
Old Airport Road,4 BHK,2658,5,187,4,7035.36
Old Airport Road,2 BHK,946,2,58,2,6131.08
Old Airport Road,4 BHK,2774,4,208,4,7498.2
Old Airport Road,4 BHK,2774,4,208,4,7498.2
Old Airport Road,4 BHK,3200,4,280,4,8750
Old Airport Road,4 BHK,2690,4,201,4,7472.12
Old Airport Road,2 BHK,1145,2,75,2,6550.22
Old Airport Road,4 BHK,2732,4,194,4,7101.02
Old Airport Road,4 BHK,2658,5,189,4,7110.61
Old Airport Road,4 BHK,2774,4,197,4,7101.66
Old Airport Road,4 BHK,3496,4,262,4,7494.28
Old Airport Road,4 BHK,2774,4,197,4,7101.66
Old Airport Road,4 BHK,2732,4,204,4,7467.06
Old Airport Road,3 BHK,1798,3,150,3,8342.6
Old Airport Road,4 BHK,2774,4,208,4,7498.2
Old Airport Road,2 BHK,1184,2,78,2,6587.84
Old Airport Road,4 BHK,3504,4,262,4,7477.17
Old Airport Road,2 BHK,1055,2,75,2,7109
Old Madras Road,3 BHK,1425,2,94,3,6596.49
Old Madras Road,4 BHK,3715,6,224.5,4,6043.07
Old Madras Road,2 BHK,935,2,45,2,4812.83
Old Madras Road,3 BHK,1720,3,100,3,5813.95
Old Madras Road,2 BHK,1200,2,72,2,6000
Old Madras Road,2 BHK,1225,2,53.55,2,4371.43
Old Madras Road,2 BHK,1100,2,70,2,6363.64
Old Madras Road,3 BHK,2760,5,157,3,5688.41
Old Madras Road,2 BHK,1171,2,75,2,6404.78
Old Madras Road,2 BHK,935,2,45,2,4812.83
Old Madras Road,5 BHK,4500,7,294,5,6533.33
Old Madras Road,2 BHK,1065,2,47.86,2,4493.9
Old Madras Road,4 BHK,2010,3,125,4,6218.91
Old Madras Road,3 BHK,1480,2,84,3,5675.68
Old Madras Road,3 BHK,2990,5,210,3,7023.41
Old Madras Road,2 BHK,1210,2,74,2,6115.7
Old Madras Road,2 BHK,1171,2,72,2,6148.59
Old Madras Road,3 BHK,1480,3,95,3,6418.92
Old Madras Road,2 BHK,1210,2,80,2,6611.57
Old Madras Road,3 BHK,1859,3,121,3,6508.88
Old Madras Road,3 BHK,2990,5,173,3,5785.95
Old Madras Road,3 Bedroom,2300,3,142,3,6173.91
Old Madras Road,2 BHK,1210,2,80,2,6611.57
Old Madras Road,2 BHK,1210,2,77,2,6363.64
Old Madras Road,5 BHK,5020,7,287,5,5717.13
Old Madras Road,2 BHK,1330,2,74,2,5563.91
Old Madras Road,3 BHK,1720,3,106,3,6162.79
Old Madras Road,3 BHK,2640,5,150,3,5681.82
Old Madras Road,3 BHK,2990,3,170,3,5685.62
Old Madras Road,2 BHK,1171,2,73,2,6233.99
Old Madras Road,3 BHK,1630,3,110,3,6748.47
Old Madras Road,2 BHK,1165,2,52,2,4463.52
Old Madras Road,2 BHK,2640,2,170,2,6439.39
Old Madras Road,2 BHK,1165,2,51.42,2,4413.73
Padmanabhanagar,2 BHK,1020,2,63,2,6176.47
Padmanabhanagar,2 BHK,1176,2,62,2,5272.11
Padmanabhanagar,2 BHK,1258,2,115,2,9141.49
Padmanabhanagar,2 BHK,1100,2,65,2,5909.09
Padmanabhanagar,4 Bedroom,3400,3,210,4,6176.47
Padmanabhanagar,3 Bedroom,4500,4,360,3,8000
Padmanabhanagar,2 BHK,1200,2,60,2,5000
Padmanabhanagar,2 BHK,1000,1,90,2,9000
Padmanabhanagar,2 BHK,1067,2,52,2,4873.48
Padmanabhanagar,2 BHK,1100,2,60,2,5454.55
Padmanabhanagar,3 BHK,2051,3,180,3,8776.21
Padmanabhanagar,3 BHK,2051,3,170,3,8288.64
Pai Layout,2 BHK,1006,2,35,2,3479.13
Pai Layout,3 BHK,1550,2,90,3,5806.45
Pai Layout,2 BHK,1050,2,40,2,3809.52
Pai Layout,3 BHK,1400,2,67,3,4785.71
Pai Layout,2 BHK,1100,2,50,2,4545.45
Pai Layout,2 BHK,1255,2,80,2,6374.5
Pai Layout,2 BHK,1075,2,35,2,3255.81
Pai Layout,2 BHK,1400,2,57.5,2,4107.14
Pai Layout,2 BHK,1175,2,60,2,5106.38
Pai Layout,2 BHK,810,2,34.5,2,4259.26
Pai Layout,2 BHK,1000,2,34,2,3400
Pai Layout,2 BHK,1000,2,42,2,4200
Pai Layout,6 Bedroom,3800,6,175,6,4605.26
Pai Layout,2 BHK,1068,2,48,2,4494.38
Pai Layout,3 BHK,1510,2,65,3,4304.64
Panathur,2 BHK,1359,2,87,2,6401.77
Panathur,2 BHK,1438,2,100,2,6954.1
Panathur,3 BHK,1688,3,118,3,6990.52
Panathur,2 BHK,1198,2,77,2,6427.38
Panathur,2 BHK,1180,2,70,2,5932.2
Panathur,3 BHK,1546,3,99,3,6403.62
Panathur,2 BHK,1000,2,65.3,2,6530
Panathur,2 BHK,1109,2,63,2,5680.79
Panathur,2 BHK,1000,2,68,2,6800
Panathur,2 BHK,1255,2,79,2,6294.82
Panathur,2 BHK,1205,2,62.9,2,5219.92
Panathur,2 BHK,1198,2,82,2,6844.74
Panathur,2 BHK,1235,2,65,2,5263.16
Panathur,2 BHK,1210,2,80,2,6611.57
Panathur,2 BHK,1210,2,77,2,6363.64
Panathur,1 BHK,661,1,40,1,6051.44
Panathur,2 BHK,1210,2,78,2,6446.28
Panathur,2 BHK,1050,2,60,2,5714.29
Panathur,2 BHK,1398,2,97,2,6938.48
Panathur,2 BHK,1065,2,58,2,5446.01
Panathur,2 BHK,1007,2,64,2,6355.51
Panathur,2 BHK,1210,2,77.93,2,6440.5
Panathur,2 BHK,1230,2,80,2,6504.07
Panathur,2 BHK,980,2,57,2,5816.33
Panathur,2 BHK,1075,2,60,2,5581.4
Panathur,2 BHK,1210,2,69,2,5702.48
Panathur,2 BHK,1343,2,76,2,5658.97
Parappana Agrahara,2 BHK,1194,2,47,2,3936.35
Parappana Agrahara,2 BHK,1194,2,47,2,3936.35
Parappana Agrahara,2 BHK,1194,2,46,2,3852.6
Parappana Agrahara,2 BHK,1194,2,47,2,3936.35
Parappana Agrahara,2 BHK,1194,2,46,2,3852.6
Parappana Agrahara,2 BHK,1194,2,47,2,3936.35
Parappana Agrahara,2 BHK,1194,2,47,2,3936.35
Parappana Agrahara,2 BHK,1092,2,43,2,3937.73
Parappana Agrahara,2 BHK,1194,2,45,2,3768.84
Parappana Agrahara,1 Bedroom,1200,1,45,1,3750
Parappana Agrahara,2 BHK,1194,2,46,2,3852.6
Parappana Agrahara,2 BHK,1194,2,47,2,3936.35
Parappana Agrahara,2 BHK,1194,2,47,2,3936.35
Parappana Agrahara,2 BHK,1194,2,46,2,3852.6
Parappana Agrahara,2 BHK,1194,2,46,2,3852.6
Pattandur Agrahara,3 BHK,1550,2,80,3,5161.29
Pattandur Agrahara,2 BHK,1025,2,44.5,2,4341.46
Pattandur Agrahara,2 BHK,1247,2,59.8,2,4795.51
